# types.tsv — every C struct in Lua's headers → Rust struct + field types
# Columns: c_type	rust_type	source_header	notes
# Field rows are indented in column 1 (two leading spaces) and give the field's Rust type in column 2.
# For unions, the Rust mapping is an enum; see PORT_STRATEGY §3 for the canonical variant lists.
# --- Primitive type aliases (lua.h, llimits.h, luaconf.h) ---
lu_byte	u8	llimits.h	unsigned byte; pervasive (tag bits, marked, flags)
ls_byte	i8	llimits.h	signed byte; used for Proto.lineinfo deltas
lu_mem	usize	llimits.h	unsigned memory counter (LUAI_UMEM → usize on 64-bit)
l_mem	isize	llimits.h	signed memory counter (LUAI_MEM → isize); GCdebt can go negative
l_uint32	u32	llimits.h	explicit 32-bit unsigned; used for nCcalls
Instruction	Instruction	llimits.h	u32 newtype; bytecode word; see lopcodes for encoding helpers
lua_Number	f64	lua.h / luaconf.h	default LUA_NUMBER is double
lua_Integer	i64	lua.h / luaconf.h	default LUA_INTEGER is long long
lua_Unsigned	u64	lua.h / luaconf.h	unsigned counterpart of lua_Integer
lua_KContext	isize	lua.h / luaconf.h	continuation context; ptrdiff_t by default; coroutine stub in Phase A–D
lua_CFunction	fn(&mut LuaState) -> Result<usize, LuaError>	lua.h	C-callable function; returns count of pushed values
lua_KFunction	fn(&mut LuaState, status: i32, ctx: isize) -> Result<usize, LuaError>	lua.h	continuation for yield/resume; coroutine stub in Phase A–D
lua_Reader	?	lua.h	chunk loader callback; signature TBD when load/dofile lands (Phase B/C); likely `Box<dyn FnMut() -> Option<&[u8]>>`
lua_Writer	?	lua.h	chunk writer callback for ldump; signature TBD; likely `Box<dyn FnMut(&[u8]) -> Result<(), LuaError>>`
lua_Alloc	(removed)	lua.h	C allocator hook; not exposed in Rust-native API — Rust's allocator handles it
lua_WarnFunction	Box<dyn FnMut(&[u8], bool)>	lua.h	warning sink stored on GlobalState
lua_Hook	Box<dyn FnMut(&mut LuaState, &LuaDebug)>	lua.h	debug hook; Phase E (debug)
lua_State	LuaState	lua.h	per-thread state; full struct mapped under State types
lua_Debug	LuaDebug	lua.h	debug introspection record; full mapping deferred to Phase E
# --- Tagged value types (lobject.h) ---
TValue	LuaValue	lobject.h	Rust enum per PORT_STRATEGY §3.2; replaces the {Value, tt_} struct
Value	(payload of LuaValue variants)	lobject.h	C union (gc/p/f/i/n); subsumed by enum payload; no standalone Rust type
  Value.gc	GcRef<dyn Collectable>	lobject.h	collectable pointer; in Rust the enum variant carries the typed GcRef directly
  Value.p	*mut c_void	lobject.h	light userdata pointer; only raw-ptr case allowed by PORTING.md §3.1
  Value.f	lua_CFunction	lobject.h	light C function; held by LuaValue::Function (LightC variant)
  Value.i	i64	lobject.h	integer payload
  Value.n	f64	lobject.h	float payload
  Value.ub	u8	lobject.h	unused/warning-suppressor; dropped
StackValue	StackValue	lobject.h	stack slot; wrapper around LuaValue + optional tbc linkage
  StackValue.val	LuaValue	lobject.h	the actual value
  StackValue.tbclist.delta	u16	lobject.h	tbc (to-be-closed) linked-list delta; stored in StackValue's tbc variant
StkId	StackIdx	lobject.h	pointer into stack → u32 newtype index; PORT_STRATEGY §3.5
StkIdRel	StackIdx	lobject.h	pointer-or-offset union collapses to a single index; reallocation no longer requires the dual
# --- GC heap header (lobject.h, lstate.h) ---
GCObject	(trait Collectable; concrete = GcRef<T>)	lobject.h	intrusive common header replaced by trait + enum/Rc dispatch
  GCObject.next	(removed)	lobject.h	intrusive list pointer; replaced by per-list `Vec<GcRef<T>>` on GlobalState (allgc, finobj, etc.)
  GCObject.tt	(encoded in enum discriminant)	lobject.h	type tag stored in C; in Rust the enum variant + concrete type carry it
  GCObject.marked	u8	lobject.h	GC color/age bits; Phase D only — Phase A–C ignores it
CommonHeader	(merged into each Rust struct)	lobject.h	macro-expanded header in C; in Rust each Collectable carries needed fields directly
GCUnion	(removed)	lstate.h	C-only union for safe cast_u; Rust uses typed GcRef<T> per object — no union needed
# --- Strings (lobject.h, lstate.h) ---
TString	LuaString	lobject.h	byte-string newtype wrapping Rc<[u8]>; never `String` or `&str` — PORT_STRATEGY §3.3
  TString.extra	u8	lobject.h	reserved-word index for short strings; "has-hash" flag for longs; kept as u8 field
  TString.shrlen	u8	lobject.h	0xFF sentinel for long strings; in Rust use `enum LuaStringRepr { Short(Rc<[u8]>), Long(Rc<[u8]>) }` or carry the byte directly
  TString.hash	u32	lobject.h	cached content hash (seeded)
  TString.u.lnglen	usize	lobject.h	long-string length; for short strings, shrlen holds length
  TString.u.hnext	(removed)	lobject.h	intrusive intern-table chain; replaced by HashSet-style StringPool on GlobalState
  TString.contents	Rc<[u8]>	lobject.h	flexible array member in C; Rust uses inline `Rc<[u8]>` (cheap clone, shared)
stringtable	StringPool	lstate.h	hash table for interned short strings; lives on GlobalState
  stringtable.hash	Vec<Option<GcRef<LuaString>>>	lstate.h	open-addressing/chained buckets in C; in Rust use HashSet<Rc<[u8]>> or HashMap<&[u8], GcRef<LuaString>>
  stringtable.nuse	usize	lstate.h	live entry count
  stringtable.size	usize	lstate.h	bucket count
# --- Userdata (lobject.h) ---
Udata	LuaUserData	lobject.h	full userdata; carries optional user values + raw byte payload
  Udata.nuvalue	u16	lobject.h	number of user values; in Rust covered by Vec::len of uv field
  Udata.len	usize	lobject.h	number of raw bytes; covered by `data: Box<[u8]>`.len()
  Udata.metatable	Option<GcRef<LuaTable>>	lobject.h	per-instance metatable
  Udata.gclist	(removed)	lobject.h	intrusive gray-list link; replaced per PORT_STRATEGY §3.4
  Udata.uv	Vec<LuaValue>	lobject.h	flexible array member of UValue; Rust uses inline Vec (or Box<[LuaValue]>)
Udata0	(merged into LuaUserData)	lobject.h	no-user-values variant; C uses it for alignment math only — drop in Rust
UValue	(removed)	lobject.h	C alignment-padding union over a TValue; in Rust just store `LuaValue` directly
# --- Tables (lobject.h) ---
Table	LuaTable	lobject.h	hybrid array+hash; the workhorse Lua container
  Table.flags	TableFlags(u8)	lobject.h	bitfield: which metamethods are absent + BITRAS (array-real-size flag); Tag-style newtype per PORTING.md §4.9
  Table.lsizenode	u8	lobject.h	log2 of hash-bucket count; keep as u8 to preserve bit-trick `1 << lsizenode`
  Table.alimit	u32	lobject.h	array-size hint OR real array size (gated by BITRAS bit in flags)
  Table.array	Vec<LuaValue>	lobject.h	array part; Rust uses Vec (or Box<[LuaValue]> + separate len) — PERF(port) revisit in Phase B
  Table.node	Vec<TableNode>	lobject.h	hash part; sized 2^lsizenode; rehashed by luaH_resize
  Table.lastfree	Option<usize>	lobject.h	first-free-position cursor for hash chaining; index into node
  Table.metatable	Option<GcRef<LuaTable>>	lobject.h	metatable pointer
  Table.gclist	(removed)	lobject.h	intrusive gray-list link; replaced per PORT_STRATEGY §3.4
Node	TableNode	lobject.h	one hash-bucket entry (key, value, next-chain index)
