[1/4] Creating LuaState...
[2/4] Opening standard library...
[3/4] Loading source (parse + compile)...
[cg_emit_eq] e1=NonReloc info=0 e2=NonReloc info=1 r1=0 r2=1 freereg=2 nactvar=0 line=8
[cg_emit_eq] e1=NonReloc info=2 e2=KInt info=0 r1=2 r2=128 freereg=5 nactvar=4 line=30
[cg_emit_eq] e1=NonReloc info=3 e2=KInt info=0 r1=3 r2=127 freereg=5 nactvar=4 line=30
[cg_emit_eq] e1=NonReloc info=2 e2=KInt info=0 r1=2 r2=128 freereg=5 nactvar=4 line=32
[cg_emit_eq] e1=NonReloc info=3 e2=KInt info=0 r1=3 r2=127 freereg=5 nactvar=4 line=32
[cg_emit_eq] e1=NonReloc info=2 e2=KInt info=0 r1=2 r2=128 freereg=5 nactvar=4 line=34
[cg_emit_eq] e1=NonReloc info=3 e2=KInt info=0 r1=3 r2=128 freereg=5 nactvar=4 line=34
[cg_emit_eq] e1=NonReloc info=2 e2=KInt info=0 r1=2 r2=132 freereg=5 nactvar=4 line=36
[cg_emit_eq] e1=NonReloc info=3 e2=KInt info=0 r1=3 r2=134 freereg=5 nactvar=4 line=36
[cg_emit_eq] e1=NonReloc info=2 e2=KInt info=0 r1=2 r2=136 freereg=5 nactvar=4 line=38
[cg_emit_eq] e1=NonReloc info=3 e2=KInt info=0 r1=3 r2=138 freereg=5 nactvar=4 line=38
[cg_emit_eq] e1=NonReloc info=2 e2=KInt info=0 r1=2 r2=136 freereg=5 nactvar=4 line=40
[cg_emit_eq] e1=NonReloc info=3 e2=KInt info=0 r1=3 r2=138 freereg=5 nactvar=4 line=40
[cg_emit_eq] e1=NonReloc info=2 e2=KInt info=0 r1=2 r2=138 freereg=5 nactvar=4 line=42
[cg_emit_eq] e1=NonReloc info=3 e2=KInt info=0 r1=3 r2=138 freereg=5 nactvar=4 line=42
[cg_emit_eq] e1=NonReloc info=5 e2=KInt info=0 r1=5 r2=131 freereg=6 nactvar=4 line=45
[cg_emit_eq] e1=NonReloc info=5 e2=NonReloc info=6 r1=5 r2=6 freereg=7 nactvar=4 line=48
