all	TIMEOUT	-
api	PASS	-
attrib	PASS	-
big	PASS	-
bitwise	PASS	-
bwcoercion	PASS	-
calls	PASS	-
calls_head313	PASS	-
calls_isolated_tmp	PASS	-
closure	PASS	-
code	PASS	-
constructs	PASS	-
coroutine	FAIL	lua: pcall_k failed: Runtime: stdin:327: assertion failed!
cstack	FAIL	testing stack overflow detection
db	FAIL	lua: pcall_k failed: Runtime: stdin:28: assertion failed!
errors	FAIL	lua: pcall_k failed: Runtime: stdin:591: assertion failed!
events	PASS	-
files-debug	PASS	-
files	FAIL	thread 'main' (23618728) panicked at crates/lua-stdlib/src/io_lib.rs:1563:5:
gc	TIMEOUT	-
gc_part	PASS	-
gctmp	PASS	-
gengc	FAIL	lua: pcall_k failed: Runtime: stdin:130: assertion failed!
goto	PASS	-
heavy	PASS	-
literals	FAIL	lua: pcall_k failed: Runtime: cannot resume dead coroutine
locals	FAIL	lua: pcall_k failed: Runtime: stdin:982: assertion failed!
main	PASS	-
math	PASS	-
nextvar	FAIL	lua: pcall_k failed: Runtime: stdin:16: assertion failed!
pm	PASS	-
repro_closure	PASS	-
sort	PASS	-
sort_repro	PASS	-
strings	PASS	-
strings_part1	PASS	-
test1	PASS	-
test_bitor2	PASS	-
test_weak	PASS	-
tpack	PASS	-
tracegc	PASS	-
utf8	PASS	-
vararg	PASS	-
verybig	PASS	-
